originalTitle,features
#Home,"Drama, nm1428724, nm6293294"
#Kaadal Kahaani,"Comedy,Drama,Family, nm9130434, nm14213018"
'Breaker' Morant,"Drama,History,War, nm0940919, nm0000915"
(500) Days of Summer,"Comedy,Drama,Romance, nm0330687, nm1989536"
1 - Nenokkadine,"Action,Thriller, nm1121870, nm1335875"
10 Rillington Place,"Biography,Crime,Drama, nm0000277, nm0281507"
100 metros,"Biography,Comedy,Drama, nm3657043, nm2201717"
12,"Crime,Drama,Thriller, nm0538710"
12 Angry Men,"Crime,Drama, nm0000020, nm0001486"
12 Years a Slave,"Biography,Drama,History, nm0252230, nm2588606"
12 stulev,"Adventure,Comedy,Crime, nm0327106, nm0301145"
127 Hours,"Action,Biography,Drama, nm0290556, nm0000965"
13th,"Crime,Documentary,History, nm1148550"
14 Peaks: Nothing Is Impossible,"Adventure,Documentary,Sport, nm4861887"
1776,"Drama,Family,History, nm0200122, nm0402596"
1917,"Action,Drama,War, nm2835616, nm0005222"
1997,"Adventure, nm13168716, nm12932529"
2001: A Space Odyssey,"Adventure,Sci-Fi, nm0001158, nm0000040"
21 Grams,"Crime,Drama,Thriller, nm0000576, nm0327944"
24,"Action,Comedy,Drama, nm1421814, nm1653460"
25th Hour,"Drama, nm0001570, nm0000490"
28 Days Later...,"Drama,Horror,Sci-Fi, nm0614165, nm0000965"
3 Idiots,"Comedy,Drama, nm0451148, nm0386246"
3 Women,"Drama,Mystery,Thriller, nm0287279, nm0000265"
300,"Action,Drama, nm0124930, nm0811583"
303,"Comedy,Drama,Romance, nm5516210, nm0918326"
3:10 to Yuma,"Action,Crime,Drama, nm0000128, nm0003506"
3:10 to Yuma,"Drama,Thriller,Western, nm0001229, nm0202681"
3E,"Crime,Drama,Thriller, nm7412049, nm6905889"
"4 luni, 3 saptamâni si 2 zile","Drama, nm0412096, nm0612816"
42,"Biography,Drama,Sport, nm1569276, nm0001338"
50/50,"Comedy,Drama,Romance, nm0330687, nm1349522"
7-beon-bang-ui seon-mul,"Comedy,Drama, nm2440627, nm1085908"
777 Charlie,"Adventure,Comedy,Drama, nm5756214, nm7882203"
83,"Biography,Drama,History, nm3828984, nm1203138"
8½,"Drama, nm0000052, nm0000019"
96,"Drama,Romance, nm4043111, nm4242320"
A Beautiful Mind,"Biography,Drama, nm0000128, nm0000165"
A Bronx Tale,"Crime,Drama, nm0000134"
A Christmas Carol,"Drama,Family,Fantasy, nm0654239, nm0547446"
A Christmas Story,"Comedy,Family, nm0082526, nm0163706"
A Clockwork Orange,"Crime,Sci-Fi, nm0000532, nm0000040"
A Day at the Races,"Comedy,Family,Musical, nm0000050, nm0939992"
A Face in the Crowd,"Drama,Music, nm0341431, nm0001415"
A Few Good Men,"Drama,Thriller, nm0000129, nm0001661"
A Fish Called Wanda,"Comedy,Crime, nm0000092, nm0187769"
A Hard Day's Night,"Comedy,Musical, nm0006168, nm0504513"
A Letter to Three Wives,"Comedy,Drama,Romance, nm0000018, nm0000581"
A Little Princess,"Drama,Family,Fantasy, nm0192377, nm0190859"
A Man Called Otto,"Comedy,Drama, nm0000158, nm0286975"
A Man for All Seasons,"Biography,Drama,History, nm0006890, nm0003593"
A Matter of Life and Death,"Drama,Fantasy,Romance, nm0000057, nm0003836"
A Night at the Opera,"Comedy,Music,Musical, nm0000050, nm0939992"
A Night to Remember,"Drama,History, nm0603336, nm0001928"
A Patch of Blue,"Drama,Music,Romance, nm0001627, nm0337885"
A Perfect World,"Crime,Drama,Thriller, nm0000126"
A Place in the Sun,"Drama,Romance, nm0001050, nm0828419"
A Quiet Place,"Drama,Horror,Sci-Fi, nm1024677"
A Raisin in the Sun,"Drama, nm0001627, nm0677951"
A Room for Romeo Brass,"Comedy,Drama, nm0037401"
A Simple Plan,"Crime,Drama,Thriller, nm0000200, nm0000600"
A Single Man,"Crime,Drama,Romance, nm0000147, nm1053530"
A Star Is Born,"Drama,Music,Romance, nm0177896"
A Star Is Born,"Drama,Musical,Romance, nm0000051, nm0002030"
A Streetcar Named Desire,"Drama, nm0000008, nm0001415"
A Thursday,"Drama,Thriller, nm0474609, nm5880364"
A Time to Kill,"Crime,Drama,Thriller, nm0000190, nm0001708"
